beurre,Type,Rarete,Portion,Weight,Volume,Calorie au 100g,Protéine,Glucide,Lipide,Fibre
Noix de coco,Oleagineux,Commun,,178.0,300,354.0,3.3,15.2,33.5,9.0
Noix de macadamia,Oleagineux,Rare,,164.0,1,718.0,7.9,13.8,75.8,8.6
Noix de pécan,Oleagineux,Rare,Petit,119.0,1,691.0,9.2,13.9,72.0,9.6
Nori,Legume,Très rare,,213.0,100,35.0,5.8,5.1,0.3,0.3
Nouille instantanée,PlatPrepare,Commun,,100.0,100,471.0,8.2,59.0,21.0,2.4
Oasis,Boisson,Commun,Unitaire,100.0,100,44.0,0.0,10.3,0.0,0.0
Oeuf,Viande,Commun,Unitaire,150.0,60,143.0,13.0,1.1,10.0,0.0
Oignon,Legume,Commun,,205.0,110,40.0,1.1,9.3,0.1,1.7
Olive,Oleagineux,Commun,Petit,120.0,5,115.0,0.8,6.3,10.7,3.2
Orange,Fruit,Commun,Unitaire,66.0,200,47.0,0.9,11.8,0.1,2.4
Oreo,Snack,Commun,,100.0,15,483.0,4.9,72.0,19.5,2.7
pain au chocolat,Patisserie,Commun,,100.0,60,406.0,7.7,44.5,22.6,2.6
pain au raisin,Patisserie,Commun,,100.0,60,361.0,7.2,45.1,16.4,2.1
Pain complet,Feculent,Commun,,4.0,50,247.0,13.0,41.0,4.4,6.8
Pamplemousse,Fruit,Commun,Unitaire,20.0,230,42.0,0.8,10.7,0.1,1.6
Panais,Legume,Rare,,49.0,50,75.0,1.2,17.9,0.3,4.9
Papaye,Fruit,Rare,Unitaire,15.0,500,43.0,0.5,10.8,0.3,1.7
Pastèque,Fruit,Commun,Unitaire,100.0,5000,30.0,0.6,7.6,0.2,0.4
Patate douce,Feculent,Commun,Unitaire,185.0,100,90.0,2.0,21.0,0.1,3.3
Pécan,Oleagineux,Rare,Petit,2.0,100,691.0,9.2,13.9,72.0,9.6
Pêche,Fruit,Commun,,20.0,150,39.0,0.9,9.5,0.3,1.5
Piment,Legume,Commun,,1.0,5,40.0,2.0,9.5,0.4,1.5
Pina colada,Alcool,Commun,,100.0,100,174.0,0.5,17.0,10.0,0.2
Pistache,Oleagineux,Commun,,150.0,1,562.0,20.2,27.5,45.4,10.6
Poire,Fruit,Commun,,9.0,150,57.0,0.4,15.2,0.1,3.1
Poireau,Legume,Commun,,186.0,50,61.0,1.5,14.2,0.3,1.8
Pois chiche,Legume,Commun,,8.0,50,364.0,19.3,61.0,6.0,17.4
Poisson blanc,Poisson,Commun,,150.0,100,86.0,18.3,0.0,1.0,0.0
Poivron,Legume,Commun,,100.0,120,31.0,1.0,6.0,0.3,2.1
Pomelo,Fruit,Commun,,100.0,230,42.0,0.8,10.7,0.1,1.6
Pomme,Fruit,Commun,,150.0,150,52.0,0.3,13.8,0.2,2.4
Pomme de terre,Feculent,Commun,,120.0,130,77.0,2.0,17.0,0.1,2.2
Potiron,Legume,Commun,,120.0,1000,26.0,1.0,6.5,0.1,0.5
Poulet,Viande,Commun,,5.0,150,239.0,27.3,0.0,13.6,0.0
Prune,Fruit,Commun,,2.0,50,46.0,0.7,11.4,0.3,1.4
Quinoa,Feculent,Rare,,10.0,50,368.0,14.1,64.2,6.1,7.0
Radis,Legume,Commun,Petit,30.0,5,16.0,0.7,3.4,0.1,1.6
Raifort,Legume,Rare,,20.0,5,48.0,1.2,11.3,0.7,3.3
Raisin,Fruit,Commun,,170.0,5,69.0,0.7,18.1,0.2,0.9
Rhubarbe,Legume,Rare,,245.0,50,21.0,0.9,4.5,0.2,1.8
Rhum,Alcool,Commun,Liquide,100.0,100,231.0,0.0,0.0,0.0,0.0
Riz,Feculent,Commun,,5.0,200,"115,0","2,5","25,6","0,3","0,4"
Roquette,Legume,Commun,,28.0,30,25.0,2.6,3.7,0.7,1.6
Sardine,Poisson,Commun,,25.0,100,208.0,24.6,0.0,11.5,0.0
Sarrasin,Feculent,Rare,,110.0,50,343.0,13.0,72.0,3.0,10.0
Saucisson sec,Charcuterie,Commun,Unitaire,50.0,30,455.0,28.0,1.5,38.0,0.0
Sauge,Legume,Rare,,16.0,5,315.0,10.6,60.7,12.8,40.3
Saumon,Poisson,Commun,,130.0,150,206.0,22.1,0.0,12.4,0.0
Seiche,Crustace,Rare,,28.0,100,79.0,15.6,3.1,1.4,0.0
Semoule,Feculent,Commun,Petit,2.0,50,360.0,12.7,73.0,1.2,3.9
Sésame,Oleagineux,Commun,,15.0,50,573.0,17.7,23.5,49.7,11.8
Snickers,Snack,Commun,Unitaire,100.0,50,488.0,8.7,55.6,24.4,2.4
Soja,Legume,Commun,,28.0,50,446.0,36.5,30.2,19.9,9.3
Sole,Poisson,Rare,,89.0,100,83.0,16.5,0.0,1.4,0.0
Sorgho,Feculent,Très rare,,113.0,50,329.0,11.3,72.1,3.4,6.7
Soupe en brique,PlatPrepare,Commun,,100.0,250,38.0,1.1,6.3,0.7,0.6
Spiruline,Legume,Très rare,,2.0,5,290.0,57.5,23.9,7.7,3.6
Tacos,PlatPrepare,Commun,Unitaire,300.0,100,226.0,9.0,23.0,11.0,2.6
Tamarin,Fruit,Très rare,,119.0,5,239.0,2.8,62.5,0.6,5.1
Tapioca,Feculent,Rare,,200.0,50,358.0,0.2,88.7,0.0,0.9
Tarte au citron,Patisserie,Commun,,100.0,200,285.0,3.3,35.8,14.0,1.0
Tartelette au chocolat,Patisserie,Commun,,130.0,100,405.0,5.2,42.0,24.0,2.1
Tartine beurre de cacahuète,Snack,Commun,Unitaire,100.0,50,320.0,9.0,22.0,23.0,2.5
Tartine de nutella,Snack,Commun,,35.0,50,405.0,4.6,44.0,23.0,2.3
Thon,Poisson,Commun,,195.0,100,132.0,28.0,0.0,1.0,0.0
Tofu,Legume,Commun,,200.0,100,126.0,12.1,1.9,7.9,0.3
Tomate,Legume,Commun,Unitaire,20.0,125,18.0,0.9,3.9,0.2,1.2
Tomate cerise,Legume,Commun,Petit,5.0,10,27.0,1.3,4.0,0.4,1.0
Topinambour,Feculent,Rare,,5.0,50,73.0,2.0,17.4,0.1,1.6
Truite,Poisson,Commun,Unitaire,150.0,150,148.0,20.5,0.0,7.0,0.0
Turquie,Viande,Commun,,10.0,100,189.0,29.0,0.1,7.4,0.0
Vache qui rit,Fromage,Commun,,100.0,15,290.0,11.0,5.0,25.0,0.0
Vin rouge,Alcool,Commun,Liquide,100.0,100,85.0,0.1,2.6,0.0,0.0
Wakame,Legume,Très rare,,150.0,50,45.0,3.0,9.1,0.6,0.5
Wasabi,Sauce,Très rare,,6.0,5,109.0,4.8,23.5,0.6,7.8
Whisky,Alcool,Commun,,100.0,100,250.0,0.0,0.0,0.0,0.0
Wrap,PlatPrepare,Commun,Unitaire,200.0,100,267.0,7.9,41.4,6.3,2.9
Yacon,Feculent,Très rare,,34.0,50,54.0,0.0,12.8,0.1,1.9
Yam,Feculent,Très rare,,5.0,100,118.0,1.5,27.9,0.2,4.1
Yaourt à boire ,Laitage,Commun,Unitaire,100.0,100,68.0,3.3,9.8,1.2,0.0
Yaourt grec,Laitage,Commun,Unitaire,193.0,100,59.0,10.0,3.6,0.4,0.0
Yaourt nature,Laitage,Commun,Unitaire,2.0,100,61.0,3.5,4.7,3.3,0.0
Zélande,Crustace,Très rare,,330.0,100,111.0,20.5,5.1,2.0,0.0
