Nom,Type,Rarete,Portion,Weight,Volume,Calorie au 100g,Protéine,Glucide,Lipide,Fibre,IG
Riz,Feculent,Commun,Petit,5.0,200,"115,0","2,5","25,6","0,3","0,4",70
Roquette,Legume,Commun,,28.0,30,25.0,2.6,3.7,0.7,1.6,15
Sardine,Poisson,Commun,,25.0,100,208.0,24.6,0.0,11.5,0.0,0
Sarrasin,Feculent,Rare,,110.0,50,343.0,13.0,72.0,3.0,10.0,50
Saucisson sec,Charcuterie,Commun,Unitaire,50.0,30,455.0,28.0,1.5,38.0,0.0,0
Sauge,Legume,Rare,,16.0,5,315.0,10.6,60.7,12.8,40.3,0
Saumon,Poisson,Commun,,130.0,150,206.0,22.1,0.0,12.4,0.0,0
Seiche,Crustace,Rare,,28.0,100,79.0,15.6,3.1,1.4,0.0,0
Semoule,Feculent,Commun,Petit,2.0,50,360.0,12.7,73.0,1.2,3.9,60
Sésame,Oleagineux,Commun,Petit,15.0,50,573.0,17.7,23.5,49.7,11.8,0
Snickers,Snack,Commun,Unitaire,100.0,50,488.0,8.7,55.6,24.4,2.4,0
Soja,Legume,Commun,,28.0,50,446.0,36.5,30.2,19.9,9.3,15
Sole,Poisson,Rare,,89.0,100,83.0,16.5,0.0,1.4,0.0,0
Sorgho,Feculent,Très rare,,113.0,50,329.0,11.3,72.1,3.4,6.7,70
Soupe en brique,PlatPrepare,Commun,Unitaire,100.0,250,38.0,1.1,6.3,0.7,0.6,0
Spiruline,Legume,Très rare,Liquide,2.0,5,290.0,57.5,23.9,7.7,3.6,0
Tacos,PlatPrepare,Commun,Unitaire,300.0,100,226.0,9.0,23.0,11.0,2.6,0
Tamarin,Fruit,Très rare,Unitaire,119.0,5,239.0,2.8,62.5,0.6,5.1,55
Tapioca,Feculent,Rare,,200.0,50,358.0,0.2,88.7,0.0,0.9,85
Tarte au citron,Patisserie,Commun,Unitaire,100.0,200,285.0,3.3,35.8,14.0,1.0,0
Tartelette au chocolat,Patisserie,Commun,Unitaire,130.0,100,405.0,5.2,42.0,24.0,2.1,0
Tartine beurre de cacahuète,Snack,Commun,Unitaire,100.0,50,320.0,9.0,22.0,23.0,2.5,0
Tartine de nutella,Snack,Commun,Unitaire,35.0,50,405.0,4.6,44.0,23.0,2.3,0
Thon,Poisson,Commun,,195.0,100,132.0,28.0,0.0,1.0,0.0,0
Tofu,Legume,Commun,,200.0,100,126.0,12.1,1.9,7.9,0.3,15
Tomate,Legume,Commun,Unitaire,20.0,125,18.0,0.9,3.9,0.2,1.2,15
Tomate cerise,Legume,Commun,Petit,5.0,10,27.0,1.3,4.0,0.4,1.0,15
Topinambour,Feculent,Rare,,5.0,50,73.0,2.0,17.4,0.1,1.6,50
Truite,Poisson,Commun,Unitaire,150.0,150,148.0,20.5,0.0,7.0,0.0,0
Turquie,Viande,Commun,,10.0,100,189.0,29.0,0.1,7.4,0.0,0
Vache qui rit,Fromage,Commun,Unitaire,100.0,15,290.0,11.0,5.0,25.0,0.0,0
Vin rouge,Alcool,Commun,Liquide,100.0,100,85.0,0.1,2.6,0.0,0.0,0
Wakame,Legume,Très rare,,150.0,50,45.0,3.0,9.1,0.6,0.5,0
Wasabi,Sauce,Très rare,Liquide,6.0,5,109.0,4.8,23.5,0.6,7.8,0
Whisky,Alcool,Commun,Liquide,100.0,100,250.0,0.0,0.0,0.0,0.0,0
Wrap,PlatPrepare,Commun,Unitaire,200.0,100,267.0,7.9,41.4,6.3,2.9,0
Yacon,Feculent,Très rare,Unitaire,34.0,50,54.0,0.0,12.8,0.1,1.9,35
Yam,Feculent,Très rare,,5.0,100,118.0,1.5,27.9,0.2,4.1,55
Yaourt à boire ,Laitage,Commun,Unitaire,100.0,100,68.0,3.3,9.8,1.2,0.0,35
Yaourt grec,Laitage,Commun,Unitaire,193.0,100,59.0,10.0,3.6,0.4,0.0,35
Yaourt nature,Laitage,Commun,Unitaire,2.0,100,61.0,3.5,4.7,3.3,0.0,35
Zélande,Crustace,Très rare,,330.0,100,111.0,20.5,5.1,2.0,0.0,0
Fraise Tagada,Confiserie,Commun,Petit,5,100,380,4,88,0,0,0
Ferrero Rocher,Confiserie,Commun,Petit,15,100,603,8,40,46,0,0
Lasagne bolognaise,PlatPrepare,Commun,,100,100,135,7,14,6,2,0
Hachis parmentier,PlatPrepare,Commun,,100,100,140,7,13,7,2,0
Bretzel,Snack,Commun,Petit,5,100,490,9,63,23,3,70
Baguette,Pain,Commun,,250,1190,270,9,57,1,3,95
Pain blanc,Pain,Commun,,35,130,265,9,51,3,3,75
Pain de mie,Pain,Commun,,25,96,290,9,53,5,3,85
Brioche,Pain,Commun,,50,208,370,9,54,13,2,70
Croque-monsieur,PlatPrepare,Commun,Unitaire,140,280,230,11,22,10,2,60
Camembert,Fromage,Commun,,250,243,300,20,0,24,0,0
Brie,Fromage,Commun,,100,97,334,20,0,28,0,0
Emmental,Fromage,Commun,,30,27,380,28,0,29,0,0
Comté,Fromage,Commun,,30,27,410,27,0,33,0,0
Raclette,Fromage,Commun,,30,29,350,25,0,27,0,0
Reblochon,Fromage,Commun,,450,437,330,21,0,26,0,0
Saucisse de Toulouse,Charcuterie,Commun,Unitaire,80,76,300,16,1,27,0,0
Rillettes,Charcuterie,Commun,,20,21,430,14,0,41,0,0
Pâté de campagne,Charcuterie,Commun,,30,29,320,16,0,28,0,0
Filet mignon,Viande,Commun,,150,143,145,21,0,6,0,0
Escalope de veau,Viande,Commun,,120,114,160,20,0,8,0,0
Yaourt aux fruits,Laitage,Commun,Unitaire,125,121,90,4,14,2,0,45
Fromage blanc,Laitage,Commun,Liquide,100,95,80,8,4,4,0,30
Crème dessert,Laitage,Commun,Unitaire,125,116,120,3,17,4,0,60
Purée de pommes de terre,Feculent,Commun,Petit,5,250,110,2,16,5,2,85
Frites,Feculent,Commun,Petit,150,300,310,4,41,15,4,70
Omelette,PlatPrepare,Commun,Unitaire,120,133,154,11,1,12,0,0
Quiche lorraine,PlatPrepare,Commun,Unitaire,125,139,290,11,24,18,1,35
Tarte aux pommes,Patisserie,Commun,Unitaire,100,111,260,3,38,11,2,40
Mille-feuille,Patisserie,Commun,Unitaire,90,150,343,5,32,22,1,50
Éclair au chocolat,Patisserie,Commun,Unitaire,70,140,290,6,39,13,1,50
Crêpes,Patisserie,Commun,Unitaire,60,120,230,6,31,9,1,55
Madeleine,Patisserie,Commun,Unitaire,25,42,450,6,53,23,1,60
Croque Madame,PlatPrepare,Commun,Unitaire,140,250,250,12,23,11,2,60
Jus d'orange,Boisson,Commun,Liquide,200.0,200.0,45.0,0.7,10.0,0.2,0.2,50
Chèvre bûche,Fromage,Commun,Tranche,100.0,96.0,334.0,21.0,0.5,27.0,0.0,0
Saint-Nectaire,Fromage,Commun,Part,100.0,96.0,360.0,22.0,0.5,29.0,0.0,0
Munster,Fromage,Commun,Part,100.0,96.0,368.0,21.0,1.0,30.0,0.0,0
Roquefort,Fromage,Commun,Part,100.0,96.0,369.0,21.0,2.0,31.0,0.0,0
Tomme de Savoie,Fromage,Commun,Part,100.0,96.0,357.0,26.0,0.1,28.0,0.0,0
Steak haché,Viande,Commun,Pièce,125.0,120.0,250.0,19.0,0.0,20.0,0.0,0
Côtes de porc,Viande,Commun,Pièce,180.0,170.0,270.0,23.0,0.0,20.0,0.0,0
Nuggets de poulet,PlatPrepare,Commun,Petit,20.0,18.0,296.0,15.0,18.0,18.0,1.0,60
Saumon fumé,Poisson,Commun,Tranche,30.0,28.0,117.0,18.0,0.0,4.0,0.0,0
Petit pois,Legume,Commun,Petit,4.0,5.0,81.0,5.0,14.0,0.4,5.0,50
Navet,Legume,Commun,Unitaire,100.0,100.0,28.0,1.0,6.0,0.1,2.0,30
Flan,Patisserie,Commun,Part,120.0,115.0,146.0,5.0,21.0,5.0,0.0,55
Clafoutis,Patisserie,Commun,Unitaire,120.0,115.0,172.0,5.0,27.0,5.0,1.0,55
Profiterole,Patisserie,Commun,Unitaire,40.0,38.0,280.0,6.0,29.0,16.0,1.0,55
Mousse au chocolat,Patisserie,Commun,Unitaire,80.0,75.0,313.0,6.0,26.0,21.0,2.0,45
Pain perdu,Patisserie,Commun,Tranche,100.0,95.0,228.0,8.0,30.0,8.0,1.0,60
Chocolat chaud,Boisson,Commun,Liquide,200.0,200.0,77.0,3.2,10.0,3.0,1.0,60
Caffè Latte Starbucks,Boisson,Commun,Liquide,473.0,473.0,54.0,3.0,6.6,2.0,0.0,45
Boudin blanc,Charcuterie,Commun,Unitaire,100,90,196,10,7,15,0,0
