beurre,Type,Rarete,Portion,Weight,Calorie au 100g,Protéine,Glucide,Lipide,Fibre
Chia,Oleagineux,Rare,Petit,3.0,486.0,16.5,42.1,30.7,34.4
Chili,Sauce,Commun,,74.0,40.0,2.0,9.5,0.4,1.5
Chips,Snack,Commun,,30.0,536.0,6.4,50.0,34.0,4.2
Chocapic,Céréales,Commun,,100.0,389.0,7.2,77.2,4.5,7.3
Chou,Legume,Commun,,92.0,25.0,1.3,5.8,0.1,2.5
Chou de Bruxelles,Legume,Commun,,150.0,43.0,3.4,8.9,0.3,3.8
Chou frisé,Legume,Commun,,2.0,49.0,4.3,8.8,0.9,3.6
Chou rouge,Legume,Commun,,205.0,31.0,1.4,7.4,0.2,2.1
Chou kale,Legume,Rare,,4.0,49.0,4.3,8.8,0.9,3.6
Chou vert,Legume,Commun,,124.0,25.0,1.3,5.8,0.1,2.5
Chou-fleur,Legume,Commun,,100.0,25.0,2.0,5.0,0.3,2.0
Ciboulette,Legume,Commun,,100.0,30.0,3.3,4.4,0.7,2.5
Citron,Fruit,Commun,Unitaire,100.0,29.0,1.1,9.3,0.3,2.8
Clémentine,Fruit,Commun,Unitaire,3.0,41.0,0.8,10.6,0.2,1.7
Coca cola,Boisson,Commun,Liquide,330.0,42.0,0.0,10.6,0.0,0.0
Coing,Fruit,Rare,Unitaire,10.0,57.0,0.4,15.3,0.1,1.9
Compote de pommes,Fruit,Commun,Liquide,100.0,68.0,0.3,16.0,0.2,1.3
Concombre,Legume,Commun,Unitaire,24.0,12.0,0.6,2.2,0.1,0.5
Cordon bleu,PlatPrepare,Commun,Unitaire,100.0,226.0,16.0,11.0,13.0,0.0
Cornichons,Legume,Commun,Petit,30.0,12.0,0.3,2.3,0.2,1.2
Courge,Legume,Commun,Unitaire,30.0,20.0,0.6,4.3,0.1,1.1
Courgette,Legume,Commun,Unitaire,30.0,17.0,1.2,3.1,0.3,1.0
Crabe,Crustace,Rare,,2.0,83.0,17.9,0.0,0.2,0.0
Cranberry,Fruit,Rare,,234.0,46.0,0.4,12.2,0.1,5.4
Crème fraîche,Laitage,Commun,,30.0,300.0,2.0,3.0,31.0,0.0
Cresson,Legume,Rare,,150.0,11.0,2.3,1.3,0.1,0.5
Crevette,Crustace,Commun,Petit,50.0,119.0,22.8,1.5,1.7,0.0
Croissant,Patisserie,Commun,Unitaire,100.0,406.0,8.0,45.0,21.0,2.6
Dattes,Fruit,Commun,Petit,15.0,277.0,1.8,75.0,0.2,6.7
Échalote,Legume,Commun,,28.0,72.0,2.5,16.8,0.1,3.2
Endive,Legume,Commun,Unitaire,40.0,17.0,0.9,3.4,0.2,1.6
Epinard,Legume,Commun,,24.0,23.0,2.9,1.1,0.4,2.2
Estragon,Legume,Rare,,282.0,295.0,22.8,50.2,7.2,7.4
Fanta,Boisson,Commun,Unitaire,100.0,47.0,0.0,11.4,0.0,0.0
Fenouil,Legume,Commun,,50.0,31.0,1.2,7.3,0.2,3.1
Feta,Fromage,Commun,,30.0,264.0,14.2,4.1,21.3,0.0
Figue,Fruit,Commun,Unitaire,172.0,74.0,0.8,19.2,0.3,2.9
Flétan,Poisson,Rare,,30.0,91.0,19.9,0.0,1.3,0.0
Fraise,Fruit,Commun,Petit,32.0,33.0,0.7,7.7,0.3,2.0
Framboise,Fruit,Commun,Petit,14.0,52.0,1.2,11.9,0.7,6.5
Fromage bleu,Laitage,Rare,Unitaire,130.0,353.0,21.4,2.3,28.7,0.0
Fruit de la passion,Fruit,Commun,Unitaire,70.0,"97,0","2,2","23,4","0,4","10,4"
Galette de riz,Snack,Commun,Unitaire,100.0,387.0,8.0,81.0,3.0,2.2
Gingembre,Legume,Commun,,17.0,80.0,1.8,17.8,0.8,2.0
Gombo,Legume,Rare,,69.0,33.0,1.9,7.5,0.2,3.2
Grenade,Fruit,Commun,Unitaire,250.0,83.0,1.7,18.7,1.2,4.0
Groseille,Fruit,Rare,Petit,36.0,56.0,1.3,13.8,0.2,4.3
Haricot vert,Legume,Commun,Petit,5.0,31.0,1.8,7.1,0.1,3.4
Haricots noirs,Legume,Commun,Petit,192.0,339.0,21.3,62.4,0.9,15.5
Haricots rouges,Legume,Commun,Petit,200.0,333.0,24.4,60.0,0.8,25.0
Houmous,Tartinade,Commun,,67.0,237.0,7.9,20.1,15.6,6.0
Huile d'olive,Lipide,Commun,Liquide,10.0,884.0,0.0,0.0,100.0,0.0
Jalapeno,Legume,Rare,,19.0,29.0,0.9,6.5,0.4,2.8
Jambon blanc,Viande,Commun,Unitaire,100.0,145.0,20.5,1.0,6.3,0.0
Jambon de poulet,Viande,Commun,Unitaire,100.0,124.0,21.0,1.0,3.5,0.0
Kale,Legume,Rare,,2.0,49.0,4.3,8.8,0.9,3.6
Kebab,PlatPrepare,Commun,Unitaire,250.0,215.0,13.5,12.0,12.5,1.5
Ketchup,Sauce,Commun,,150.0,112.0,1.2,25.0,0.2,0.3
Kinder Bueno,Snack,Commun,Unitaire,43.0,572.0,8.6,49.0,37.3,1.4
Kiri,Fromage,Commun,,100.0,319.0,6.4,5.3,30.5,0.0
Kiwi,Fruit,Commun,Unitaire,88.0,61.0,1.1,14.7,0.5,3.0
Lait,Laitage,Commun,Liquide,200.0,64.0,3.3,4.8,3.6,0.0
Laitue,Legume,Commun,,20.0,15.0,1.4,2.9,0.2,1.3
Lentilles,Legume,Commun,Petit,2.0,352.0,25.8,60.1,1.1,10.7
Lime,Fruit,Commun,,150.0,30.0,0.7,10.5,0.2,2.8
Lin,Oleagineux,Rare,,5.0,534.0,18.3,28.9,42.2,27.3
Litchi,Fruit,Rare,,15.0,66.0,0.8,16.5,0.4,1.3
Luzerne,Legume,Très rare,,16.0,23.0,4.0,2.1,0.7,1.9
Macadamia,Oleagineux,Rare,,2.0,718.0,7.9,13.8,75.8,8.6
Magnum,Snack,Commun,,100.0,290.0,3.5,28.5,18.5,0.5
Maïs,Feculent,Commun,Petit,45.0,365.0,9.4,74.3,4.7,7.3
Mandarine,Fruit,Commun,Unitaire,7.0,53.0,0.8,13.3,0.3,1.8
Mangue,Fruit,Commun,Unitaire,7.0,60.0,0.8,15.0,0.4,1.6
Marron,Feculent,Rare,,50.0,213.0,2.4,45.5,2.2,8.3
Mars,Snack,Commun,,100.0,450.0,4.4,70.0,17.0,1.3
Melon,Fruit,Commun,Unitaire,3.0,34.0,0.8,8.2,0.2,0.9
Miel,Tartinade,Commun,Liquide,2.0,304.0,0.3,82.4,0.0,0.2
Mojito,Alcool,Commun,Unitaire,100.0,110.0,0.1,9.0,0.2,0.1
Morue,Poisson,Rare,,30.0,105.0,23.0,0.0,0.9,0.0
Moutarde,Sauce,Commun,,123.0,66.0,4.4,5.8,4.0,3.3
Mûre,Fruit,Commun,,170.0,43.0,1.4,9.6,0.5,5.3
Myrtille,Fruit,Rare,,304.0,57.0,0.7,14.5,0.3,2.4
Noisette,Oleagineux,Commun,,286.0,628.0,14.1,16.7,60.8,9.7
Noix,Oleagineux,Commun,,100.0,654.0,15.2,13.7,65.2,6.7
Noix de coco,Oleagineux,Commun,,178.0,354.0,3.3,15.2,33.5,9.0
Noix de macadamia,Oleagineux,Rare,,164.0,718.0,7.9,13.8,75.8,8.6
Noix de pécan,Oleagineux,Rare,Petit,119.0,691.0,9.2,13.9,72.0,9.6
Nori,Legume,Très rare,,213.0,35.0,5.8,5.1,0.3,0.3
Nouille instantanée,PlatPrepare,Commun,,100.0,471.0,8.2,59.0,21.0,2.4
Oasis,Boisson,Commun,Unitaire,100.0,44.0,0.0,10.3,0.0,0.0
Oeuf,Viande,Commun,Unitaire,150.0,143.0,13.0,1.1,10.0,0.0
Oignon,Legume,Commun,,205.0,40.0,1.1,9.3,0.1,1.7
Olive,Oleagineux,Commun,Petit,120.0,115.0,0.8,6.3,10.7,3.2
Orange,Fruit,Commun,Unitaire,66.0,47.0,0.9,11.8,0.1,2.4
Oreo,Snack,Commun,,100.0,483.0,4.9,72.0,19.5,2.7
pain au chocolat,Patisserie,Commun,,100.0,406.0,7.7,44.5,22.6,2.6
pain au raisin,Patisserie,Commun,,100.0,361.0,7.2,45.1,16.4,2.1
Pain complet,Feculent,Commun,,4.0,247.0,13.0,41.0,4.4,6.8
Pamplemousse,Fruit,Commun,Unitaire,20.0,42.0,0.8,10.7,0.1,1.6
Panais,Legume,Rare,,49.0,75.0,1.2,17.9,0.3,4.9
Papaye,Fruit,Rare,Unitaire,15.0,43.0,0.5,10.8,0.3,1.7
Pastèque,Fruit,Commun,Unitaire,100.0,30.0,0.6,7.6,0.2,0.4
Patate douce,Feculent,Commun,Unitaire,185.0,90.0,2.0,21.0,0.1,3.3
Pécan,Oleagineux,Rare,Petit,2.0,691.0,9.2,13.9,72.0,9.6
Pêche,Fruit,Commun,,20.0,39.0,0.9,9.5,0.3,1.5
Piment,Legume,Commun,,1.0,40.0,2.0,9.5,0.4,1.5
Pina colada,Alcool,Commun,,100.0,174.0,0.5,17.0,10.0,0.2
Pistache,Oleagineux,Commun,,150.0,562.0,20.2,27.5,45.4,10.6
Poire,Fruit,Commun,,9.0,57.0,0.4,15.2,0.1,3.1
Poireau,Legume,Commun,,186.0,61.0,1.5,14.2,0.3,1.8
Pois chiche,Legume,Commun,,8.0,364.0,19.3,61.0,6.0,17.4
Poisson blanc,Poisson,Commun,,150.0,86.0,18.3,0.0,1.0,0.0
Poivron,Legume,Commun,,100.0,31.0,1.0,6.0,0.3,2.1
Pomelo,Fruit,Commun,,100.0,42.0,0.8,10.7,0.1,1.6
Pomme,Fruit,Commun,,150.0,52.0,0.3,13.8,0.2,2.4
Pomme de terre,Feculent,Commun,,120.0,77.0,2.0,17.0,0.1,2.2
Potiron,Legume,Commun,,120.0,26.0,1.0,6.5,0.1,0.5
Poulet,Viande,Commun,,5.0,239.0,27.3,0.0,13.6,0.0
Prune,Fruit,Commun,,2.0,46.0,0.7,11.4,0.3,1.4
Quinoa,Feculent,Rare,,10.0,368.0,14.1,64.2,6.1,7.0
Radis,Legume,Commun,Petit,30.0,16.0,0.7,3.4,0.1,1.6
Raifort,Legume,Rare,,20.0,48.0,1.2,11.3,0.7,3.3
Raisin,Fruit,Commun,,170.0,69.0,0.7,18.1,0.2,0.9
Rhubarbe,Legume,Rare,,245.0,21.0,0.9,4.5,0.2,1.8
Rhum,Alcool,Commun,Liquide,100.0,231.0,0.0,0.0,0.0,0.0
Riz,Feculent,Commun,,5.0,"115,0","2,5","25,6","0,3","0,4"
Roquette,Legume,Commun,,28.0,25.0,2.6,3.7,0.7,1.6
Sardine,Poisson,Commun,,25.0,208.0,24.6,0.0,11.5,0.0
Sarrasin,Feculent,Rare,,110.0,343.0,13.0,72.0,3.0,10.0
Saucisson sec,Charcuterie,Commun,Unitaire,50.0,455.0,28.0,1.5,38.0,0.0
Sauge,Legume,Rare,,16.0,315.0,10.6,60.7,12.8,40.3
Saumon,Poisson,Commun,,130.0,206.0,22.1,0.0,12.4,0.0
Seiche,Crustace,Rare,,28.0,79.0,15.6,3.1,1.4,0.0
Semoule,Feculent,Commun,Petit,2.0,360.0,12.7,73.0,1.2,3.9
Sésame,Oleagineux,Commun,,15.0,573.0,17.7,23.5,49.7,11.8
Snickers,Snack,Commun,Unitaire,100.0,488.0,8.7,55.6,24.4,2.4
Soja,Legume,Commun,,28.0,446.0,36.5,30.2,19.9,9.3
Sole,Poisson,Rare,,89.0,83.0,16.5,0.0,1.4,0.0
Sorgho,Feculent,Très rare,,113.0,329.0,11.3,72.1,3.4,6.7
Soupe en brique,PlatPrepare,Commun,,100.0,38.0,1.1,6.3,0.7,0.6
Spiruline,Legume,Très rare,,2.0,290.0,57.5,23.9,7.7,3.6
Tacos,PlatPrepare,Commun,Unitaire,300.0,226.0,9.0,23.0,11.0,2.6
Tamarin,Fruit,Très rare,,119.0,239.0,2.8,62.5,0.6,5.1
Tapioca,Feculent,Rare,,200.0,358.0,0.2,88.7,0.0,0.9
Tarte au citron,Patisserie,Commun,,100.0,285.0,3.3,35.8,14.0,1.0
Tartelette au chocolat,Patisserie,Commun,,130.0,405.0,5.2,42.0,24.0,2.1
Tartine beurre de cacahuète,Snack,Commun,Unitaire,100.0,320.0,9.0,22.0,23.0,2.5
Tartine de nutella,Snack,Commun,,35.0,405.0,4.6,44.0,23.0,2.3
Thon,Poisson,Commun,,195.0,132.0,28.0,0.0,1.0,0.0
Tofu,Legume,Commun,,200.0,126.0,12.1,1.9,7.9,0.3
Tomate,Legume,Commun,Unitaire,20.0,18.0,0.9,3.9,0.2,1.2
Tomate cerise,Legume,Commun,Petit,5.0,27.0,1.3,4.0,0.4,1.0
Topinambour,Feculent,Rare,,5.0,73.0,2.0,17.4,0.1,1.6
Truite,Poisson,Commun,Unitaire,150.0,148.0,20.5,0.0,7.0,0.0
Turquie,Viande,Commun,,10.0,189.0,29.0,0.1,7.4,0.0
Vache qui rit,Fromage,Commun,,100.0,290.0,11.0,5.0,25.0,0.0
Vin rouge,Alcool,Commun,Liquide,100.0,85.0,0.1,2.6,0.0,0.0
Wakame,Legume,Très rare,,150.0,45.0,3.0,9.1,0.6,0.5
Wasabi,Sauce,Très rare,,6.0,109.0,4.8,23.5,0.6,7.8
Whisky,Alcool,Commun,,100.0,250.0,0.0,0.0,0.0,0.0
Wrap,PlatPrepare,Commun,Unitaire,200.0,267.0,7.9,41.4,6.3,2.9
Yacon,Feculent,Très rare,,34.0,54.0,0.0,12.8,0.1,1.9
Yam,Feculent,Très rare,,5.0,118.0,1.5,27.9,0.2,4.1
Yaourt à boire ,Laitage,Commun,Unitaire,100.0,68.0,3.3,9.8,1.2,0.0
Yaourt grec,Laitage,Commun,Unitaire,193.0,59.0,10.0,3.6,0.4,0.0
Yaourt nature,Laitage,Commun,Unitaire,2.0,61.0,3.5,4.7,3.3,0.0
Zélande,Crustace,Très rare,,330.0,111.0,20.5,5.1,2.0,0.0
