beurre,Type,Rarete,Etat,Weight,Calorie au 100g,Protéine,Glucide,Lipide,Fibre
Wasabi,Sauce,Très rare,,"6,0","109,0","4,8","23,5","0,6","7,8"
Houmous,Tartinade,Commun,,"67,0","237,0","7,9","20,1","15,6","6,0"
Miel,Tartinade,Commun,,"2,0","304,0","0,3","82,4","0,0","0,2"
Bacon,Viande,Commun,,"20,0","541,0","37,0","1,4","42,0","0,0"
Boeuf haché,Viande,Commun,,"28,0","250,0","26,0","0,0","17,0","0,0"
Oeuf,Viande,Commun,,"150,0","143,0","13,0","1,1","10,0","0,0"
Poulet,Viande,Commun,,"5,0","239,0","27,3","0,0","13,6","0,0"
Turquie,Viande,Commun,,"10,0","189,0","29,0","0,1","7,4","0,0"
Bière,Boisson,Rare,,"70,0","43,0","0,5","3,6","0,0","0,0"
Chocapic,Céréales,Commun,,"100,0","389,0","7,2","77,2","4,5","7,3"
pain au raisin,Patisserie,Commun,,"100,0","361,0","7,2","45,1","16,4","2,1"
pain au chocolat,Patisserie,Commun,,"100,0","406,0","7,7","44,5","22,6","2,6"
Croissant,Patisserie,Commun,,"100,0","406,0","8,0","45,0","21,0","2,6"
Oreo,Snack,Commun,,"100,0","483,0","4,9","72,0","19,5","2,7"
Mars,Snack,Commun,,"100,0","450,0","4,4","70,0","17,0","1,3"
Snickers,Snack,Commun,,"100,0","488,0","8,7","55,6","24,4","2,4"
Jambon blanc,Viande,Commun,,"100,0","145,0","20,5","1,0","6,3","0,0"
Jambon de poulet,Viande,Commun,,"100,0","124,0","21,0","1,0","3,5","0,0"
Vache qui rit,Fromage,Commun,,"100,0","290,0","11,0","5,0","25,0","0,0"
Kiri,Fromage,Commun,,"100,0","319,0","6,4","5,3","30,5","0,0"
Nouille instantanée,PlatPrepare,Commun,,"100,0","471,0","8,2","59,0","21,0","2,4"
Soupe en brique,PlatPrepare,Commun,,"100,0","38,0","1,1","6,3","0,7","0,6"
Magnum,Snack,Commun,,"100,0","290,0","3,5","28,5","18,5","0,5"
Galette de riz,Snack,Commun,,"100,0","387,0","8,0","81,0","3,0","2,2"
Cordon bleu,PlatPrepare,Commun,,"100,0","226,0","16,0","11,0","13,0","0,0"
Coca-Cola,Boisson,Commun,,"100,0","42,0","0,0","10,6","0,0","0,0"
Fanta,Boisson,Commun,,"100,0","47,0","0,0","11,4","0,0","0,0"
Oasis,Boisson,Commun,,"100,0","44,0","0,0","10,3","0,0","0,0"
Tarte au citron,Patisserie,Commun,,"100,0","285,0","3,3","35,8","14,0","1,0"
Vin rouge,Alcool,Commun,,"100,0","85,0","0,1","2,6","0,0","0,0"
Whisky,Alcool,Commun,,"100,0","250,0","0,0","0,0","0,0","0,0"
Rhum,Alcool,Commun,,"100,0","231,0","0,0","0,0","0,0","0,0"
Pina colada,Alcool,Commun,,"100,0","174,0","0,5","17,0","10,0","0,2"
Mojito,Alcool,Commun,,"100,0","110,0","0,1","9,0","0,2","0,1"
Tartine beurre de cacahuète,Snack,Commun,,,"320,0","9,0","22,0","23,0","2,5"
Tartine de nutella,Snack,Commun,,"35,0","405,0","4,6","44,0","23,0","2,3"
Feta,Fromage,Commun,,"30,0","264,0","14,2","4,1","21,3","0,0"
Kebab,PlatPrepare,Commun,,"250,0","215,0","13,5","12,0","12,5","1,5"
Tacos,PlatPrepare,Commun,,"300,0","226,0","9,0","23,0","11,0","2,6"
Bubble Tea,Boisson,Commun,Liquide,"400,0","85,0","0,3","21,0","0,1","0,2"
Coca cola,Boisson,Commun,Liquide,"330,0","42,0","0,0","10,6","0,0","0,0"
Wrap,PlatPrepare,Commun,,"200,0","267,0","7,9","41,4","6,3","2,9"
Biscuits Lu,Snack,Commun,Solide,"30,0","475,0","6,0","68,0","20,0","2,5"
Bonbons Haribo,Snack,Commun,Solide,"40,0","343,0","6,9","77,4","0,2","0,0"
Yaourt à boire ,Laitage,Commun,Liquide,"100,0","68,0","3,3","9,8","1,2","0,0"
Cornichons,Legume,Commun,Solide,"30,0","12,0","0,3","2,3","0,2","1,2"
Saucisson sec,Charcuterie,Commun,Solide,"50,0","455,0","28,0","1,5","38,0","0,0"
Babybel,Fromage,Commun,Solide,"22,0","314,0","22,5","0,0","25,0","0,0"
Thon en boîte,Poisson,Commun,Solide,"60,0","121,0","26,0","0,0","1,0","0,0"
Crème chantilly,Laitage,Commun,Solide,"30,0","257,0","2,0","12,5","23,0","0,0"
Kinder Bueno,Snack,Commun,Solide,"43,0","572,0","8,6","49,0","37,3","1,4"
Compote de pommes,Fruit,Commun,Liquide,"100,0","68,0","0,3","16,0","0,2","1,3"
Crème fraîche,Laitage,Commun,Solide,"30,0","300,0","2,0","3,0","31,0","0,0"
Chips,Snack,Commun,Solide,"30,0","536,0","6,4","50,0","34,0","4,2"
Tartelette au chocolat,Patisserie,Commun,,,"405,0","5,2","42,0","24,0","2,1"
